Transcript,locations,State,District,Subdistrict
मैं छत्तीसगढ़ बिलासपुर में रहता हूं सरकंडा बंगाली पारा बिलासपुर,"छत्तीसगढ़ बिलासपुर ,बिलासपुर ,",छत्तीसगढ़,बिलासपुर,
जिला बनारस,"बनारस ,",उत्तर प्रदेश,बनारस,
मैं सिद्धेश अभियान जिला का छत्तीसगढ़ में रहने वाला हूं ब्लाइंड स्कूल आरा वालों में पढ़ाई करता हूं मैं नवी कक्षा में पढ़ाई करता हूं अरे नाम और गांव जिला,"जिला ,छत्तीसगढ़ ,आरा ,जिला ",छत्तीसगढ़,,
बिहार  बिहार,"बिहार ,  बिहार",बिहार,,
बीकानेर राजस्थान बीकानेर राजस्थान,"बीकानेर राजस्थान , बीकानेर राजस्थान",राजस्थान,बीकानेर,
हेलो हां मैं दिनेश कुमार बोल रहा हूं और मैं उत्तर प्रदेश से कासगंज जिले का रहने वाला हूं और प्रकाशन जीने लगा हूं बस एक दिनेश नाम है मेरा,"उत्तर प्रदेश ,कासगंज जिले ,",उत्तर प्रदेश,कांशीराम नगर,कासगंज
नागपुर,"नागपुर ,",महाराष्ट्र,नागपुर,
आई एम 1m अजरुदीन फ्रॉम हैदराबाद सिटी,"हैदराबाद ,",आंध्र प्रदेश,हैदराबाद,
विजय कुमार गौतम ग्राम मुरली पोस्ट तहसील उतरौला बलरामपुर यूपी,"बलरामपुर यूपी ,",उत्तर प्रदेश,बलरामपुर,उतरौला
खरगोन मध्य प्रदेश खरगोन मध्य प्रदेश,"खरगोन मध्य प्रदेश खरगोन मध्य प्रदेश ,",मध्य प्रदेश,खरगोन,"खरगोन,"
कर्नाटक,"कर्नाटक ,",कर्नाटक,,
बरेली उत्तर प्रदेश बरेली उत्तर प्रदेश,"बरेली उत्तर प्रदेश , बरेली उत्तर प्रदेश",उत्तर प्रदेश,रायसेन,बरेली
हवेली खड़कपुर प्रखंड सासाराम का समाचार,"सासाराम ,",बिहार,रोहतास,सासाराम
मेरा नाम विद्यालय में त्रिपुरा में रहता हूं इस सब के प्रोग्राम है कि वह के अनुसार से उत्पन्न होता है जो अपने शरीर का इज्जत कर,"त्रिपुरा ,",त्रिपुरा,,
बिहार जम्मू एंड कश्मीर  जम्मू एंड कश्मीर जम्मू एंड कश्मीर,"बिहार जम्मू एंड कश्मीर , जम्मू ,कश्मीर , जम्मू ,कश्मीर ,",जम्मू एंड कश्मीर,,
मैं त्रिपुरा का रहने वाला हूं त्रिपुरा की राजधानी अगरतला में रहने वाला हूं अगरतला का रहने वाला है,"त्रिपुरा ,त्रिपुरा ,अगरतला ,अगरतला ,",त्रिपुरा,पश्चिम त्रिपुरा,
अमन कुमार हिसार हरियाणा  हिसार हरियाणा,"कुमार हिसार हरियाणा ,  हिसार हरियाणा",हरियाणा,हिसार,
रितिका सुंदर नागपुर महाराष्ट्र,"नागपुर महाराष्ट्र ,",महाराष्ट्र,नागपुर,
